,index,zipcode,Category,installs_per_100,100_hhs,number_installed,PO_NAME,STATE,ZIP_TYPE,ZCTA,Zip_join_type,population,landsqmi,popdensity,total_household,avg_hh_size,percet_1unit,ZCTA_5,mean_income,earning_hhs,mean_income_earning_hhs,percent_int_div_rent,earn_int_div_rent,no_financial_incentive_prog,no_rules_reg_pol_incentive,no_plants,op_months,summer_capacity,winter_capacity,nameplate_capacity,comm_rate,ind_rate,res_rate,comm_rate_noniou,ind_rate_noniou,res_rate_noniou,region
2658,2658,87025,Medium,0.352733686,5.67,2,Jemez Springs,NM,Zip Code Area,87025,Zip Matches ZCTA,1237,346.39,3.57,567,1.84,87.5,87025,91584,66.5,102214,31.0,9104,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.07,0.13,Southwest
2659,2659,90069,Medium,0.454255658,125.48,57,West Hollywood,CA,Zip Code Area,90069,Zip Matches ZCTA,20483,2.11,9689.21,12548,1.63,19.4,90069,126658,86.8,124388,32.4,39252,22,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.13,0.15,CAISO
2660,2660,53137,Medium,0.464396285,6.46,3,Helenville,WI,Zip Code Area,53137,Zip Matches ZCTA,1702,32.33,52.64,646,2.57,98.5,53137,82079,85.6,81358,39.0,9509,7,4,0,0,0.0,0.0,0.0,0.12,0.08,0.15,0.0,0.0,0.0,MISO
2661,2661,85257,Low,0.162124604,129.53,21,Scottsdale,AZ,Zip Code Area,85257,Zip Matches ZCTA,26755,6.56,4079.75,12953,2.41,64.8,85257,67891,76.5,69620,19.6,14359,7,1,0,0,0.0,0.0,0.0,0.11,0.08,0.13,0.09,0.03,0.11,Southwest
2662,2662,96051,High,2.434456929,5.34,13,Lakehead,CA,Zip Code Area,96051,Zip Matches ZCTA,1139,309.53,3.68,534,2.37,92.5,96051,60419,54.3,68689,19.5,12334,22,2,0,0,0.0,0.0,0.0,0.15,0.11,0.16,0.0,0.0,0.0,CAISO
2663,2663,98053,Low,0.049732687,80.43,4,Redmond,WA,Zip Code Area,98053,Zip Matches ZCTA,18784,28.36,662.25,8043,2.71,88.9,98053,157257,79.9,160710,48.6,27648,11,3,0,0,0.0,0.0,0.0,0.05,0.05,0.06,0.09,0.0,0.13,Northwest
2664,2664,8690,Medium,0.378947368,71.25,27,Trenton,NJ,Zip Code Area,8690,Zip Matches ZCTA,18567,7.08,2623.2,7125,2.7,89.2,8690,107958,78.5,107619,33.1,9991,10,4,0,0,0.0,0.0,0.0,0.08,0.04,0.1,0.0,0.0,0.0,PJM
2665,2665,5673,Medium,0.879507476,11.37,10,Waitsfield,VT,Zip Code Area,5673,Zip Matches ZCTA,2574,54.83,46.95,1137,2.18,79.4,5673,93360,83.0,82188,38.5,31513,4,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.18,0.12,0.2,New England
2666,2666,95242,Medium,0.231738035,99.25,23,Lodi,CA,Zip Code Area,95242,Zip Matches ZCTA,25393,96.04,264.41,9925,2.58,79.7,95242,87045,73.8,85739,28.9,22898,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.15,0.11,0.16,CAISO
2667,2667,15212,Low,0.007827176,127.76,1,Pittsburgh,PA,Zip Code Area,15212,Zip Matches ZCTA,27895,6.22,4484.73,12776,2.03,63.0,15212,55363,73.5,60266,15.8,10362,7,3,0,0,0.0,0.0,0.0,0.07,0.07,0.11,0.0,0.0,0.0,PJM
2668,2668,90007,Low,0.077107608,116.72,9,Los Angeles,CA,Zip Code Area,90007,Zip Matches ZCTA,40920,2.47,16586.95,11672,3.07,34.2,90007,33802,75.4,38543,4.7,10886,22,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.13,0.15,CAISO
2669,2669,76310,Low,0.040810774,73.51,3,Wichita Falls,TX,Zip Code Area,76310,Zip Matches ZCTA,17989,179.74,100.08,7351,2.51,78.6,76310,82076,82.7,80348,21.3,15749,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERCOT
2670,2670,63664,Low,0.030911901,32.35,1,Potosi,MO,Zip Code Area,63664,Zip Matches ZCTA,8920,294.1,30.33,3235,2.57,61.6,63664,45453,62.7,51510,11.8,2386,10,3,0,0,0.0,0.0,0.0,0.08,0.07,0.11,0.09,0.06,0.1,Northwest
2671,2671,70118,Low,0.053726303,130.29,7,New Orleans,LA,Zip Code Area,70118,Zip Matches ZCTA,33008,4.68,7046.97,13029,2.4,54.8,70118,82867,76.5,86507,23.9,31179,0,1,0,0,0.0,0.0,0.0,0.08,0.06,0.09,0.0,0.0,0.0,MISO
2672,2672,3741,Low,0.186104218,16.12,3,Canaan,NH,Zip Code Area,3741,Zip Matches ZCTA,4208,76.88,54.74,1612,2.52,70.3,3741,75496,82.4,76191,17.0,18659,4,4,0,0,0.0,0.0,0.0,0.12,0.2,0.13,0.13,0.09,0.15,New England
2673,2673,92270,High,3.617245005,95.1,344,Rancho Mirage,CA,Zip Code Area,92270,Zip Matches ZCTA,17220,26.67,645.62,9510,1.87,81.2,92270,116541,49.3,111286,47.2,69243,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.12,0.14,0.13,CAISO
2674,2674,96822,Low,0.005488173,182.21,1,Honolulu,HI,Zip Code Area,96822,Zip Matches ZCTA,45007,8.2,5487.99,18221,2.3,35.6,96822,89997,80.3,84885,35.0,20459,1,2,0,0,0.0,0.0,0.0,0.23,0.19,0.26,0.0,0.0,0.0,Hawaii
2675,2675,77388,Low,0.006496881,153.92,1,Spring,TX,Zip Code Area,77388,Zip Matches ZCTA,40384,13.9,2905.32,15392,2.88,94.5,77388,100843,91.6,98983,17.6,7834,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERCOT
2676,2676,21903,Low,0.126742712,23.67,3,Perryville,MD,Zip Code Area,21903,Zip Matches ZCTA,5687,12.13,468.72,2367,2.54,68.7,21903,78312,76.0,80879,15.7,10326,7,4,0,0,0.0,0.0,0.0,0.08,0.05,0.1,0.0,0.0,0.0,PJM
2677,2677,1040,Low,0.006664445,150.05,1,Holyoke,MA,Zip Code Area,1040,Zip Matches ZCTA,39880,21.28,1873.97,15005,2.6,39.6,1040,55169,69.1,63178,13.1,8370,18,4,0,0,0.0,0.0,0.0,0.11,0.09,0.14,0.13,0.11,0.13,New England
2678,2678,1754,Medium,0.754285714,43.75,33,Maynard,MA,Zip Code Area,1754,Zip Matches ZCTA,10106,5.21,1938.62,4375,2.4,74.9,1754,110998,81.3,118087,30.9,12917,18,4,0,0,0.0,0.0,0.0,0.13,0.1,0.16,0.09,0.11,0.12,New England
2679,2679,65550,Low,0.074571216,13.41,1,Newburg,MO,Zip Code Area,65550,Zip Matches ZCTA,3127,180.38,17.34,1341,2.33,80.8,65550,48455,65.5,45368,16.1,15930,10,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.07,0.1,Northwest
2680,2680,5074,Medium,0.33557047,8.94,3,Thetford,VT,Post Office or large volume customer,5045,Spatial join to ZCTA,1758,51.7,34.01,894,2.14,82.9,5045,76401,78.1,75305,34.7,16101,4,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,New England
2681,2681,86337,Low,0.1953125,5.12,1,Seligman,AZ,Zip Code Area,86337,Zip Matches ZCTA,1267,1215.12,1.04,512,2.21,50.6,86337,42686,48.8,57168,15.8,7281,7,1,0,0,0.0,0.0,0.0,0.11,0.08,0.13,0.0,0.0,0.0,Southwest
2682,2682,55949,Low,0.132275132,7.56,1,Lanesboro,MN,Zip Code Area,55949,Zip Matches ZCTA,1808,110.63,16.34,756,2.32,86.8,55949,68720,75.7,66635,31.7,14531,32,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.07,0.14,MISO
2683,2683,17844,Low,0.127194098,39.31,5,Mifflinburg,PA,Zip Code Area,17844,Zip Matches ZCTA,10042,112.07,89.61,3931,2.66,75.6,17844,63575,75.8,64976,22.6,13858,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.08,0.0,0.0,0.0,PJM
2684,2684,63348,Low,0.086730269,23.06,2,Foristell,MO,Zip Code Area,63348,Zip Matches ZCTA,6059,53.51,113.24,2306,2.88,97.6,63348,95842,81.9,93726,26.5,18499,10,3,0,0,0.0,0.0,0.0,0.08,0.07,0.11,0.1,0.07,0.09,Northwest
2685,2685,3838,Low,0.170648464,5.86,1,Glen,NH,Zip Code Area,3838,Zip Matches ZCTA,1031,22.99,44.85,586,1.92,92.2,3838,76778,69.1,68894,27.6,51250,4,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.09,0.15,New England
2686,2686,95645,Medium,0.276243094,7.24,2,Knights Landing,CA,Zip Code Area,95645,Zip Matches ZCTA,2037,128.0,15.91,724,2.89,82.9,95645,51990,84.8,50187,7.7,14339,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2687,2687,14867,Low,0.174901618,22.87,4,Newfield,NY,Zip Code Area,14867,Zip Matches ZCTA,5569,67.07,83.03,2287,2.54,60.9,14867,65458,78.3,66402,23.1,5761,14,6,0,0,0.0,0.0,0.0,0.07,0.04,0.09,0.0,0.0,0.0,NYISO
2688,2688,93616,High,1.46627566,6.82,10,Del Rey,CA,Zip Code Area,93616,Zip Matches ZCTA,2627,13.87,189.35,682,3.81,65.8,93616,44660,82.7,42804,6.7,6580,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2689,2689,90704,Medium,0.940665702,13.82,13,Avalon,CA,Zip Code Area,90704,Zip Matches ZCTA,4090,74.8,54.68,1382,2.8,37.3,90704,90185,87.6,80525,20.2,40013,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.0,0.0,0.0,CAISO
2690,2690,94027,High,5.132450331,24.16,124,Atherton,CA,Zip Code Area,94027,Zip Matches ZCTA,7089,5.2,1364.06,2416,2.82,99.0,94027,432416,75.6,388922,71.7,166587,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2691,2691,17847,Low,0.100583384,49.71,5,Milton,PA,Zip Code Area,17847,Zip Matches ZCTA,12051,46.93,256.78,4971,2.31,77.4,17847,56522,71.6,59220,20.9,6461,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.08,0.0,0.0,0.0,PJM
2692,2692,18704,Low,0.022086432,135.83,3,Kingston,PA,Zip Code Area,18704,Zip Matches ZCTA,31206,10.01,3118.42,13583,2.26,70.7,18704,61292,71.2,63898,22.5,11950,7,3,0,0,0.0,0.0,0.0,0.06,0.04,0.08,0.0,0.0,0.0,PJM
2693,2693,7307,Low,0.037629351,159.45,6,Jersey City,NJ,Zip Code Area,7307,Zip Matches ZCTA,43812,2.24,19558.93,15945,2.81,18.2,7307,76556,86.6,80399,13.4,10695,10,4,2,10,4.1,4.1,4.1,0.08,0.04,0.1,0.0,0.0,0.0,PJM
2694,2694,20678,Low,0.068058076,44.08,3,Prince Frederick,MD,Zip Code Area,20678,Zip Matches ZCTA,11045,42.76,258.28,4408,2.73,84.4,20678,93621,78.0,97482,19.7,9185,7,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.09,PJM
2695,2695,97032,Low,0.05952381,16.8,1,Hubbard,OR,Zip Code Area,97032,Zip Matches ZCTA,5043,18.31,275.36,1680,2.94,61.8,97032,60992,73.6,65499,19.2,9954,22,6,0,0,0.0,0.0,0.0,0.06,0.04,0.06,0.0,0.0,0.0,Northwest
2696,2696,93020,Low,0.017708518,112.94,2,Moorpark,CA,Post Office or large volume customer,93021,Spatial join to ZCTA,36422,47.23,771.13,11294,3.28,84.9,93021,124943,89.4,119874,25.8,20864,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.0,0.0,0.0,CAISO
2697,2697,10913,Medium,0.311915159,16.03,5,Blauvelt,NY,Zip Code Area,10913,Zip Matches ZCTA,5532,4.13,1339.47,1603,3.25,97.0,10913,144742,78.8,153946,29.6,10655,14,6,0,0,0.0,0.0,0.0,0.1,0.06,0.15,0.0,0.0,0.0,NYISO
2698,2698,80521,Low,0.046515234,128.99,6,Fort Collins,CO,Zip Code Area,80521,Zip Matches ZCTA,33409,14.19,2353.74,12899,2.41,62.0,80521,60116,87.8,55982,22.9,21912,10,0,1,12,1.9,1.9,1.9,0.09,0.07,0.11,0.1,0.07,0.11,Southwest
2699,2699,13021,Low,0.048094265,166.34,8,Auburn,NY,Zip Code Area,13021,Zip Matches ZCTA,39506,120.2,328.68,16634,2.27,66.4,13021,62543,70.5,65327,20.6,11550,14,6,0,0,0.0,0.0,0.0,0.07,0.04,0.09,0.0,0.0,0.0,NYISO
2700,2700,95004,High,4.037800687,11.64,47,Aromas,CA,Zip Code Area,95004,Zip Matches ZCTA,3918,18.15,215.84,1164,3.3,85.9,95004,123712,87.9,119715,32.9,11535,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2701,2701,10541,Low,0.069412309,86.44,6,Mahopac,NY,Zip Code Area,10541,Zip Matches ZCTA,26339,24.89,1058.22,8644,3.05,89.5,10541,123658,85.1,120570,30.6,18279,14,6,0,0,0.0,0.0,0.0,0.07,0.04,0.09,0.0,0.0,0.0,NYISO
2702,2702,87535,Medium,0.223214286,4.48,1,Glorieta,NM,Zip Code Area,87535,Zip Matches ZCTA,1270,64.28,19.76,448,2.54,66.5,87535,59940,73.0,51930,14.7,7167,2,2,0,0,0.0,0.0,0.0,0.1,0.05,0.12,0.15,0.12,0.18,Southwest
2703,2703,60450,Low,0.012217471,81.85,1,Morris,IL,Zip Code Area,60450,Zip Matches ZCTA,20332,157.35,129.22,8185,2.5,77.9,60450,79577,74.1,82117,25.2,13387,7,3,0,0,0.0,0.0,0.0,0.06,0.03,0.09,0.0,0.0,0.0,MISO
2704,2704,95449,High,3.853211009,5.45,21,Hopland,CA,Zip Code Area,95449,Zip Matches ZCTA,1507,130.59,11.54,545,2.99,74.9,95449,70915,73.0,72031,25.7,6441,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2705,2705,21666,Medium,0.559701493,42.88,24,Stevensville,MD,Zip Code Area,21666,Zip Matches ZCTA,12309,22.13,556.31,4288,2.73,93.2,21666,109531,82.9,107775,33.2,11843,7,4,0,0,0.0,0.0,0.0,0.08,0.03,0.1,0.0,0.0,0.0,PJM
2706,2706,94587,Medium,0.323702773,206.98,67,Union City,CA,Zip Code Area,94587,Zip Matches ZCTA,69516,19.72,3525.15,20698,3.52,74.8,94587,109345,86.0,110663,28.5,10322,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2707,2707,7936,Medium,0.304414003,39.42,12,East Hanover,NJ,Zip Code Area,7936,Zip Matches ZCTA,11157,7.89,1413.71,3942,2.85,90.5,7936,134506,77.6,143640,34.4,14539,10,4,0,0,0.0,0.0,0.0,0.08,0.05,0.09,0.0,0.0,0.0,PJM
2708,2708,14004,Low,0.119760479,41.75,5,Alden,NY,Zip Code Area,14004,Zip Matches ZCTA,12704,47.93,265.05,4175,2.46,78.7,14004,74727,77.1,73871,25.8,9088,14,6,0,0,0.0,0.0,0.0,0.07,0.04,0.09,0.0,0.0,0.0,NYISO
2709,2709,13116,Low,0.069396253,14.41,1,Minoa,NY,Zip Code Area,13116,Zip Matches ZCTA,3457,1.32,2616.96,1441,2.39,79.2,13116,65668,77.2,70399,23.3,2593,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
2710,2710,7512,Low,0.029299736,34.13,1,Totowa,NJ,Zip Code Area,7512,Zip Matches ZCTA,10804,3.94,2739.35,3413,2.99,77.6,7512,108092,80.1,111418,32.2,12578,10,4,0,0,0.0,0.0,0.0,0.08,0.04,0.1,0.0,0.0,0.0,PJM
2711,2711,14453,Low,0.034512511,57.95,2,Fishers,NY,Post Office or large volume customer,14564,Spatial join to ZCTA,14487,42.1,344.08,5795,2.55,79.3,14564,125445,76.5,139010,32.2,12093,14,6,0,0,0.0,0.0,0.0,0.09,0.07,0.1,0.0,0.0,0.0,NYISO
2712,2712,12504,High,10.0,0.3,3,Annandale on Hudson,NY,Post Office or large volume customer,12504,Zip matches ZCTA,1395,1.47,948.98,30,2.27,83.3,12504,118523,70.0,145310,16.7,12226,14,6,0,0,0.0,0.0,0.0,0.08,0.06,0.13,0.0,0.0,0.0,NYISO
2713,2713,90023,Low,0.115668654,112.39,13,Los Angeles,CA,Zip Code Area,90023,Zip Matches ZCTA,45903,4.22,10867.19,11239,4.13,63.5,90023,48160,83.8,49755,5.1,12076,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.16,0.14,0.14,CAISO
2714,2714,52001,Low,0.005675047,176.21,1,Dubuque,IA,Zip Code Area,52001,Zip Matches ZCTA,43173,26.16,1650.28,17621,2.28,67.8,52001,57069,78.5,57077,21.8,10369,7,2,0,0,0.0,0.0,0.0,0.11,0.07,0.15,0.1,0.0,0.12,MISO
2715,2715,19083,Low,0.030369752,131.71,4,Havertown,PA,Zip Code Area,19083,Zip Matches ZCTA,35878,5.56,6456.36,13171,2.78,89.0,19083,109208,84.0,110030,34.3,12869,7,3,0,0,0.0,0.0,0.0,0.07,0.04,0.11,0.0,0.0,0.0,PJM
2716,2716,19508,Low,0.133444537,59.95,8,Birdsboro,PA,Zip Code Area,19508,Zip Matches ZCTA,15725,38.02,413.57,5995,2.63,88.4,19508,90303,79.0,92969,24.2,17026,7,3,0,0,0.0,0.0,0.0,0.07,0.05,0.09,0.0,0.0,0.0,PJM
2717,2717,17901,Low,0.060969414,98.41,6,Pottsville,PA,Zip Code Area,17901,Zip Matches ZCTA,23990,78.03,307.47,9841,2.33,79.3,17901,58435,69.8,61547,19.5,9285,7,3,0,0,0.0,0.0,0.0,0.06,0.03,0.09,0.0,0.0,0.0,PJM
2718,2718,80206,Low,0.030807147,129.84,4,Denver,CO,Zip Code Area,80206,Zip Matches ZCTA,21521,2.46,8741.27,12984,1.78,39.8,80206,108194,84.8,104455,29.9,38725,10,0,0,0,0.0,0.0,0.0,0.09,0.07,0.11,0.0,0.0,0.0,Southwest
2719,2719,49345,Low,0.020283976,49.3,1,Sparta,MI,Zip Code Area,49345,Zip Matches ZCTA,13040,52.76,247.17,4930,2.71,80.1,49345,67752,81.4,65605,23.2,17121,8,2,0,0,0.0,0.0,0.0,0.07,0.04,0.08,0.13,0.08,0.15,MISO
2720,2720,32708,Low,0.019381097,154.79,3,Winter Springs,FL,Zip Code Area,32708,Zip Matches ZCTA,42012,18.43,2279.54,15479,2.87,82.2,32708,90147,82.2,90253,24.5,11922,5,2,0,0,0.0,0.0,0.0,0.08,0.07,0.11,0.0,0.0,0.0,Southeast
2721,2721,95946,High,3.806584362,38.88,148,Penn Valley,CA,Zip Code Area,95946,Zip Matches ZCTA,9790,41.85,233.95,3888,2.49,93.8,95946,82614,65.6,78164,38.7,23891,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2722,2722,61525,Low,0.031897927,31.35,1,Dunlap,IL,Zip Code Area,61525,Zip Matches ZCTA,9021,31.32,288.01,3135,2.96,90.3,61525,132584,88.6,131361,39.2,15887,7,3,0,0,0.0,0.0,0.0,0.06,0.03,0.08,0.0,0.0,0.0,MISO
2723,2723,95762,High,4.959289415,135.1,670,El Dorado Hills,CA,Zip Code Area,95762,Zip Matches ZCTA,38797,41.28,939.8,13510,3.0,93.2,95762,155303,81.2,153077,37.2,29658,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.13,0.1,0.14,CAISO
2724,2724,48183,Low,0.005791729,172.66,1,Trenton,MI,Zip Code Area,48183,Zip Matches ZCTA,43182,18.57,2324.86,17266,2.42,72.9,48183,74412,73.7,79488,20.9,9258,8,2,0,0,0.0,0.0,0.0,0.06,0.04,0.11,0.0,0.0,0.0,MISO
2725,2725,72946,Low,0.069156293,14.46,1,Mountainburg,AR,Zip Code Area,72946,Zip Matches ZCTA,3654,96.08,38.03,1446,2.45,81.9,72946,52585,70.4,56351,11.6,3879,1,2,0,0,0.0,0.0,0.0,0.07,0.06,0.09,0.09,0.06,0.1,MISO
2726,2726,16504,Low,0.015605493,64.08,1,Erie,PA,Zip Code Area,16504,Zip Matches ZCTA,17322,2.79,6215.29,6408,2.31,79.6,16504,49748,73.1,51840,18.1,6732,7,3,0,0,0.0,0.0,0.0,0.07,0.05,0.11,0.0,0.0,0.0,PJM
2727,2727,84094,Low,0.022214817,90.03,2,Sandy,UT,Zip Code Area,84094,Zip Matches ZCTA,28069,5.11,5497.26,9003,3.13,89.8,84094,83538,87.3,81558,21.4,7976,3,3,0,0,0.0,0.0,0.0,0.09,0.06,0.12,0.0,0.0,0.0,Northwest
2728,2728,87110,Low,0.059231179,168.83,10,Albuquerque,NM,Zip Code Area,87110,Zip Matches ZCTA,38587,8.64,4468.16,16883,2.23,75.2,87110,64190,74.1,62696,23.7,14470,2,2,0,0,0.0,0.0,0.0,0.1,0.05,0.12,0.0,0.0,0.0,Southwest
2729,2729,35750,Low,0.020699648,48.31,1,Hazel Green,AL,Zip Code Area,35750,Zip Matches ZCTA,12783,63.54,201.19,4831,2.52,82.0,35750,56444,77.2,57060,15.0,4557,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.05,Southeast
2730,2730,20759,Medium,0.732600733,13.65,10,Fulton,MD,Zip Code Area,20759,Zip Matches ZCTA,3355,6.34,529.01,1365,3.07,96.7,20759,191725,85.4,192395,45.4,17607,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2731,2731,37405,Low,0.014287755,69.99,1,Chattanooga,TN,Zip Code Area,37405,Zip Matches ZCTA,14597,55.58,262.62,6999,2.15,62.7,37405,77200,80.9,78213,20.7,25205,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.06,0.07,Southeast
2732,2732,76137,Low,0.024956326,200.35,5,Fort Worth,TX,Zip Code Area,76137,Zip Matches ZCTA,54911,13.54,4056.96,20035,2.95,70.6,76137,82642,92.3,79338,15.8,13632,19,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ERCOT
2733,2733,97215,Low,0.051894136,77.08,4,Portland,OR,Zip Code Area,97215,Zip Matches ZCTA,16375,2.27,7207.31,7708,2.23,72.3,97215,98350,83.3,92881,34.8,25791,22,6,0,0,0.0,0.0,0.0,0.06,0.04,0.06,0.0,0.0,0.0,Northwest
2734,2734,63366,Low,0.055148073,181.33,10,O Fallon,MO,Zip Code Area,63366,Zip Matches ZCTA,46175,68.76,671.59,18133,2.66,81.8,63366,84770,82.5,84270,21.6,20804,10,3,0,0,0.0,0.0,0.0,0.08,0.07,0.11,0.1,0.07,0.09,Northwest
2735,2735,37220,Low,0.085947572,23.27,2,Nashville,TN,Zip Code Area,37220,Zip Matches ZCTA,5786,7.45,777.06,2327,2.46,98.8,37220,149720,80.7,148267,50.1,33137,2,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.05,0.06,Southeast
2736,2736,94596,High,1.473467285,97.05,143,Walnut Creek,CA,Zip Code Area,94596,Zip Matches ZCTA,20037,5.96,3363.04,9705,2.14,39.4,94596,115287,79.1,118648,33.3,24691,22,2,0,0,0.0,0.0,0.0,0.14,0.1,0.17,0.0,0.0,0.0,CAISO
2737,2737,89130,Low,0.039799411,125.63,5,Las Vegas,NV,Zip Code Area,89130,Zip Matches ZCTA,33015,7.65,4316.81,12563,2.8,90.1,89130,73060,79.1,69962,18.0,10678,9,2,0,0,0.0,0.0,0.0,0.05,0.04,0.06,0.0,0.0,0.0,Northwest
2738,2738,1031,Low,0.187617261,5.33,1,Gilbertville,MA,Zip Code Area,1031,Zip Matches ZCTA,1308,8.09,161.64,533,2.24,49.5,1031,57241,69.4,61838,18.4,15687,18,4,0,0,0.0,0.0,0.0,0.1,0.1,0.14,0.0,0.0,0.0,New England
2739,2739,21017,Low,0.037481259,26.68,1,Belcamp,MD,Zip Code Area,21017,Zip Matches ZCTA,7062,2.75,2569.87,2668,2.47,73.3,21017,87749,88.8,84601,19.4,11083,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2740,2740,89147,Low,0.037058606,188.89,7,Las Vegas,NV,Zip Code Area,89147,Zip Matches ZCTA,49778,7.42,6713.15,18889,2.78,67.0,89147,66714,80.9,67856,12.4,13227,9,2,0,0,0.0,0.0,0.0,0.05,0.04,0.06,0.0,0.0,0.0,Northwest
2741,2741,89704,Medium,0.223089794,17.93,4,Washoe Valley,NV,Zip Code Area,89704,Zip Matches ZCTA,4290,76.56,56.04,1793,2.41,86.8,89704,146304,77.6,145448,30.2,48317,9,2,0,0,0.0,0.0,0.0,0.04,0.03,0.05,0.0,0.0,0.0,Northwest
2742,2742,21218,Low,0.05331343,187.57,10,Baltimore,MD,Zip Code Area,21218,Zip Matches ZCTA,49796,4.18,11907.22,18757,2.31,61.9,21218,62229,72.0,66089,15.7,21294,7,4,0,0,0.0,0.0,0.0,0.08,0.07,0.1,0.0,0.0,0.0,PJM
2743,2743,14120,Low,0.021400674,186.91,4,North Tonawanda,NY,Zip Code Area,14120,Zip Matches ZCTA,45100,32.9,1370.74,18691,2.38,73.3,14120,73589,74.8,76642,23.2,6427,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
2744,2744,21754,Low,0.093501636,21.39,2,Ijamsville,MD,Zip Code Area,21754,Zip Matches ZCTA,6323,23.72,266.58,2139,2.82,97.8,21754,160659,87.6,156426,28.6,29381,7,4,0,0,0.0,0.0,0.0,0.07,0.05,0.07,0.0,0.0,0.0,PJM
2745,2745,80439,Low,0.111516626,98.64,11,Evergreen,CO,Zip Code Area,80439,Zip Matches ZCTA,23778,176.77,134.52,9864,2.43,94.2,80439,129755,81.7,124365,37.7,36263,10,0,0,0,0.0,0.0,0.0,0.09,0.07,0.11,0.11,0.08,0.13,Southwest
2746,2746,3844,Medium,0.221238938,9.04,2,Hampton Falls,NH,Zip Code Area,3844,Zip Matches ZCTA,2238,12.32,181.73,904,2.62,93.8,3844,171864,88.4,148897,44.6,52483,4,4,0,0,0.0,0.0,0.0,0.12,0.07,0.12,0.0,0.0,0.0,New England
2747,2747,91006,High,1.297702586,104.03,135,Arcadia,CA,Zip Code Area,91006,Zip Matches ZCTA,31715,6.32,5019.78,10403,3.09,83.9,91006,122830,81.9,121963,29.5,34946,22,2,0,0,0.0,0.0,0.0,0.09,0.06,0.13,0.15,0.0,0.18,CAISO
2748,2748,92056,Medium,0.687945774,197.69,136,Oceanside,CA,Zip Code Area,92056,Zip Matches ZCTA,51835,12.41,4176.54,19769,2.72,75.3,92056,78744,69.9,84682,26.9,15656,22,2,0,0,0.0,0.0,0.0,0.14,0.11,0.15,0.0,0.0,0.0,CAISO
2749,2749,12828,Low,0.170454545,35.2,6,Fort Edward,NY,Zip Code Area,12828,Zip Matches ZCTA,9448,46.31,204.03,3520,2.42,64.5,12828,66242,78.1,62064,16.5,26503,14,6,0,0,0.0,0.0,0.0,0.07,0.03,0.1,0.0,0.0,0.0,NYISO
2750,2750,8601,Low,0.025147743,79.53,2,Trenton,NJ,Post Office or large volume customer,8611,Spatial join to ZCTA,28038,2.77,10118.37,7953,3.07,67.5,8611,50641,74.4,57075,9.5,6864,10,4,0,0,0.0,0.0,0.0,0.08,0.04,0.1,0.0,0.0,0.0,PJM
